,open,high,low,close,adjclose,volume,ticker,date
2021-01-11,0.21193775534629822,0.21193775534629822,0.1716044396162033,0.19171443581581116,0.19171443581581116,31669775.0,ABBC-USD,2021-01-11
2021-01-12,0.1918499916791916,0.19534100592136383,0.18100015819072723,0.18306803703308105,0.18306803703308105,49136081.0,ABBC-USD,2021-01-12
2021-01-13,0.18322257697582245,0.21810610592365265,0.17883220314979553,0.20776456594467163,0.20776456594467163,50210576.0,ABBC-USD,2021-01-13
2021-01-14,0.2066442221403122,0.24037370085716248,0.20335941016674042,0.2385549396276474,0.2385549396276474,52376480.0,ABBC-USD,2021-01-14
2021-01-11,0.003684289986267686,0.0036861898843199015,0.00291546992957592,0.003209100104868412,0.003209100104868412,1327925.0,ACH-USD,2021-01-11
2021-01-12,0.003215600037947297,0.003281740006059408,0.0029852099251002073,0.0030531699303537607,0.0030531699303537607,756265.0,ACH-USD,2021-01-12
2021-01-13,0.0030539699364453554,0.003314079949632287,0.0029297899454832077,0.0032125199213624,0.0032125199213624,882267.0,ACH-USD,2021-01-13
2021-01-14,0.0032400733325630426,0.0032580182887613773,0.0030832348857074976,0.0031544622033834457,0.0031544622033834457,938788.0,ACH-USD,2021-01-14
2021-01-11,0.007011069916188717,0.007101160008460283,0.005660669878125191,0.006191899999976158,0.006191899999976158,3874830.0,ACT-USD,2021-01-11
2021-01-12,0.0061960602179169655,0.006399869918823242,0.005800290033221245,0.006128900218755007,0.006128900218755007,3104093.0,ACT-USD,2021-01-12
2021-01-13,0.006131090223789215,0.006506780162453651,0.005819910205900669,0.006347090005874634,0.006347090005874634,3101110.0,ACT-USD,2021-01-13
2021-01-14,0.00641573267057538,0.006557645741850138,0.006332273129373789,0.006487031001597643,0.006487031001597643,3001524.0,ACT-USD,2021-01-14
2021-01-11,0.30499592423439026,0.30499592423439026,0.2330329418182373,0.27546554803848267,0.27546554803848267,4768803200.0,ADA-USD,2021-01-11
2021-01-12,0.275249183177948,0.3133697807788849,0.26572734117507935,0.2870030403137207,0.2870030403137207,4037298874.0,ADA-USD,2021-01-12
2021-01-13,0.28668802976608276,0.31446513533592224,0.2723952531814575,0.31360894441604614,0.31360894441604614,2656935143.0,ADA-USD,2021-01-13
2021-01-14,0.31113606691360474,0.3182932138442993,0.3031279146671295,0.31437432765960693,0.31437432765960693,2498074624.0,ADA-USD,2021-01-14
2021-01-11,2.697180986404419,2.697180986404419,1.4809678792953491,1.7477573156356812,1.7477573156356812,1671047.0,ADK-USD,2021-01-11
2021-01-12,1.7496000528335571,2.3720057010650635,1.7391390800476074,2.078831672668457,2.078831672668457,1919382.0,ADK-USD,2021-01-12
2021-01-13,2.081308603286743,2.394918918609619,1.927594542503357,2.3173904418945312,2.3173904418945312,2057828.0,ADK-USD,2021-01-13
2021-01-14,2.4424872398376465,2.475642204284668,2.3289825916290283,2.4727296829223633,2.4727296829223633,2031100.0,ADK-USD,2021-01-14
2021-01-11,0.3663058280944824,0.37031757831573486,0.2823474109172821,0.3392334580421448,0.3392334580421448,3320142.0,ADX-USD,2021-01-11
2021-01-12,0.3394449055194855,0.3599967658519745,0.3176119923591614,0.34903672337532043,0.34903672337532043,2945021.0,ADX-USD,2021-01-12
2021-01-13,0.3490748703479767,0.3814193904399872,0.33637186884880066,0.37920838594436646,0.37920838594436646,1623448.0,ADX-USD,2021-01-13
2021-01-14,0.4076743423938751,0.44384661316871643,0.3792343735694885,0.4050036668777466,0.4050036668777466,11084937.0,ADX-USD,2021-01-14
2021-01-11,0.09364856779575348,0.09392554312944412,0.0712621808052063,0.08354639261960983,0.08354639261960983,13618740.0,AE-USD,2021-01-11
2021-01-12,0.08361297845840454,0.08667007088661194,0.07574144750833511,0.07785341888666153,0.07785341888666153,10192293.0,AE-USD,2021-01-12
2021-01-13,0.07794599235057831,0.08251456171274185,0.07720424234867096,0.08248761296272278,0.08248761296272278,7584873.0,AE-USD,2021-01-13
2021-01-14,0.08099707961082458,0.08295563608407974,0.08027398586273193,0.08187451958656311,0.08187451958656311,7937793.0,AE-USD,2021-01-14
2021-01-11,0.19186009466648102,0.19186009466648102,0.14402253925800323,0.1784958690404892,0.1784958690404892,4436.0,AEON-USD,2021-01-11
2021-01-12,0.17866836488246918,0.2103552222251892,0.16113455593585968,0.17336705327033997,0.17336705327033997,11010.0,AEON-USD,2021-01-12
2021-01-13,0.17329609394073486,0.1980096846818924,0.16690514981746674,0.19677980244159698,0.19677980244159698,6041.0,AEON-USD,2021-01-13
2021-01-14,0.20332366228103638,0.2475305199623108,0.1951766312122345,0.21128596365451813,0.21128596365451813,11477.0,AEON-USD,2021-01-14
2021-01-11,0.012141499668359756,0.012141499668359756,0.0019055299926549196,0.002176289912313223,0.002176289912313223,2.0,AIB-USD,2021-01-11
2021-01-12,0.0021802899427711964,0.002298479899764061,0.0020457799546420574,0.0021049599163234234,0.0021049599163234234,2.0,AIB-USD,2021-01-12
2021-01-13,0.0021077399142086506,0.0022575699258595705,0.0016825100174173713,0.0017181599978357553,0.0017181599978357553,2.0,AIB-USD,2021-01-13
2021-01-14,0.010581892915070057,0.010603641159832478,0.0016825972124934196,0.00976983830332756,0.00976983830332756,1561.0,AIB-USD,2021-01-14
2021-01-11,0.0854094922542572,0.0855414867401123,0.06471188366413116,0.07435882091522217,0.07435882091522217,2627182.0,AION-USD,2021-01-11
2021-01-12,0.07438333332538605,0.0765925720334053,0.06871494650840759,0.07123932242393494,0.07123932242393494,1498965.0,AION-USD,2021-01-12
