ticker,2021-01-15
AIB-USD,-0.03797029171514643
CLAM-USD,-0.06033063269048711
COLX-USD,-0.0675535801477456
DOT1-USD,-0.09124865310939456
DOT2-USD,-0.09124865310939456
ECA-USD,-0.0868606729522855
LYNX-USD,-0.06034858054495584
MINT-USD,-0.06034700507265511
VGX-USD,0.22240032837838064
XSN-USD,0.31371555006740826
