date,ADA-USD,ADX-USD,AE-USD,ANT-USD,ARDR-USD,ARK-USD,ATB-USD,BAT-USD,BCH-USD,BLOCK-USD,BNB-USD,BNT-USD,BTC-USD,BTG-USD,BTS-USD,CVC-USD,DASH-USD,DCR-USD,DGD-USD,DNT-USD,EDG-USD,EOS-USD,ETC-USD,ETH-USD,ETP-USD,FCT-USD,FRST-USD,GAME-USD,GAS-USD,GBYTE-USD,GNO-USD,GNT-USD,HC-USD,ICX-USD,IOC-USD,KMD-USD,KNC-USD,LINK-USD,LKK-USD,LRC-USD,LSK-USD,LTC-USD,MAID-USD,MCO-USD,MGO-USD,MIOTA-USD,MLN-USD,MONA-USD,MTL-USD,NANO-USD,NAV-USD,NEBL-USD,NEO-USD,NLC2-USD,NXS-USD,NXT-USD,OMG-USD,PART-USD,PAY-USD,PIVX-USD,PPT-USD,QASH-USD,QRL-USD,QTUM-USD,REP-USD,RLC-USD,SALT-USD,SMART-USD,SNGLS-USD,SNM-USD,SNT-USD,STEEM-USD,STORJ-USD,STRAT-USD,SUB-USD,SYS-USD,TAAS-USD,UBQ-USD,USDT-USD,VERI-USD,VTC-USD,WAVES-USD,WINGS-USD,WTC-USD,XCP-USD,XEM-USD,XLM-USD,XMR-USD,XRP-USD,XUC-USD,XVG-USD,XZC-USD,ZEC-USD,ZEN-USD,ZRX-USD
2017-12-31,0.719694972,2.78937006,1.321359992,3.88902998,1.7201299669999999,7.042319775,0.44775599200000005,0.412203014,2533.01001,44.56779861,8.635580062999999,5.281380177,14156.40039,261.7229919,0.657628,0.864754975,1051.680054,95.95709991,156.173996,0.14443600199999998,2.248049974,8.765950203,27.99799919,756.7329712000001,2.777509928,57.7140007,15.21380043,4.129320145,30.335599900000002,686.3839722,210.2189941,0.8421379920000001,29.519699100000004,5.35352993,3.2434198860000003,9.904919624,2.61913991,0.60155201,0.22770400300000002,0.458586991,20.40690041,232.09599300000002,0.942026019,15.27569962,1.304890037,3.550869942,131.9309998,10.118200300000002,8.067890167,21.65780067,3.215739965,8.34939003,75.96060181,0.21602399600000002,3.116709948,0.705942988,19.88949966,21.13030052,4.081039906,10.39540005,41.52819824,0.865427017,2.383680105,62.39749908,70.07240295,1.3702000380000001,12.81000042,0.403023005,0.25383698899999996,0.370481014,0.224668995,3.009449959,2.4365899559999997,14.02960014,1.098569989,0.740653992,5.956059933,5.99612999,1.01225996,337.3349915,6.677440166,12.59659958,1.267699957,11.30930042,32.86360168,1.034049988,0.36075601,349.02600099999995,2.300570011,8.888560295,0.22259999800000002,112.322998,505.5109863,59.78789902,0.8957210179999999
2018-01-01,0.728657007,3.108799934,1.300220013,4.273650169,1.60769999,7.606259822999999,0.445190012,0.475598991,2432.540039,41.99290085,8.414609909,5.3583498,13657.2002,272.9049988,0.768535018,0.906648993,1053.97998,109.0059967,162.9160004,0.166968003,2.3090600969999997,8.843179702999999,34.16790009,772.6409912,2.942080021,64.80699921,14.67000008,4.110459805,31.44319916,779.026001,227.0749969,0.932030976,28.27540016,6.156990051,3.375610113,9.727789879,3.062829971,0.7335630059999999,0.225850999,0.45617801,21.12820053,229.0330048,1.108829975,14.79559994,1.234069943,3.974400043,132.423996,9.992910385,9.54047966,29.56900024,3.749560118,9.135450363,78.82369995,0.192350999,3.0966598989999996,0.641350985,19.33239937,21.45359993,4.034540176,10.73830032,41.72719955,0.8897680040000001,2.435669899,60.88470078,74.47619629,1.926180005,12.41049957,0.42248600700000005,0.31677600699999997,0.404211015,0.255234003,4.00549984,2.27083993,15.69639969,1.053079963,0.749513984,6.081550121,5.552629948,1.007279992,343.11999510000004,6.82460022,12.57409954,1.227890015,11.34080029,32.15439987,1.041370034,0.48000800600000004,358.98999019999997,2.391030073,9.018099785,0.156130999,125.4420013,577.1929932,56.26810074,0.877713978
2018-01-02,0.782586992,2.951539993,1.3831299540000002,4.605140209,1.839069963,7.871809959,0.46203300399999997,0.563300014,2711.0,44.66579819,8.837770462,6.012839794,14982.09961,277.0769958,0.792658985,1.080649972,1217.719971,108.32700349999999,175.22000119999998,0.167466998,2.930000067,9.334710121,34.917099,884.4439697,3.14876008,60.35839844,14.59570026,4.779429913,32.71440125,813.8020019999999,268.605011,1.088240027,26.22540092,6.491230011,3.54437995,10.42679977,3.422480106,0.673712015,0.222115993,0.48784300700000005,21.95190048,255.6840057,1.101330042,16.70420074,1.268650055,3.9961500169999997,150.9219971,10.27789974,9.607159615,33.70230103,3.57949996,8.312939644,90.32579803,0.24713200300000002,3.23112011,0.627515018,20.2954998,21.01429939,4.244900227,11.62010002,44.67670059,0.995800018,2.437740088,60.71580124,79.47170258,2.0852398869999997,11.93869972,0.43770799,0.288343012,0.37331399299999996,0.317330003,6.693560122999999,2.3215301040000003,16.07990074,1.200320005,0.79460901,6.581190109,5.936009884,1.0048999790000002,377.53900150000004,7.428939819,13.34980011,1.215170026,11.46560001,39.83470154,1.160179973,0.56476599,383.4169922,2.480900049,9.475549698,0.144905001,126.07800290000002,583.5059813999999,52.12189865,0.89667201
2018-01-03,1.079660058,2.857800007,1.5283299680000002,6.55136013,1.954079986,7.593850136,0.490321994,0.65121901,2608.689941,49.89170074,9.535880088999999,6.613210201,15201.0,270.2409973,0.8918920159999999,1.347890019,1170.73999,107.1240005,181.00900269999997,0.18565100399999998,2.8653299810000004,10.22789955,34.86339951,962.7199707000001,3.069289923,66.37049866,14.08780003,4.467140198,39.19269943,819.7659912,266.4530029,1.0819200279999999,25.20980072,7.34307003,3.8346199989999996,10.01140022,3.5886600019999997,0.6811670059999999,0.214994997,0.569930017,21.00060081,245.3679962,1.165510058,16.43169975,1.14515996,4.126840115,185.3589935,9.687879562,9.635080338,25.04879951,3.43975997,8.426250458,105.5589981,0.367458999,3.948129892,0.6404709820000001,20.54000092,20.18280029,4.591619968,11.088000300000001,51.89070129,1.061939955,2.336100101,59.08580017,77.46600342,1.913130045,11.5333004,0.440263003,0.301005006,0.400034994,0.665023029,8.030779839,2.259749889,16.95680046,1.364860058,0.773903012,7.137330055,6.867370128999999,1.0134400129999999,376.053009,7.178120136,12.99450016,1.291000009,10.88710022,38.45539856,1.790279984,0.896227002,412.0629883,3.105370045,9.921059608,0.145220995,124.27999879999999,581.8889771,50.14310074,0.974471986
2018-01-04,1.1141200070000001,2.855360031,1.806779981,6.273580074,1.78215003,7.116539955,0.474837005,0.634124994,2430.179932,50.34230042,9.213990211,7.054289817999999,15599.2002,273.7569885,0.843038023,1.194000006,1229.790039,110.71900179999999,192.845993,0.239150003,2.5628299709999998,11.275500300000001,36.31800079,980.9219971000001,5.485479832,66.6289978,14.05430031,4.536389828,43.16450119,853.5100097999999,299.0339966,1.088000059,24.73419952,7.240419865,4.401659966,9.400300026,3.408970118,0.984368026,0.21125400100000002,0.656785011,21.46290016,241.36999509999998,1.083089948,16.14940071,1.155840039,4.0823102,256.6359863,9.274600029,11.01019955,32.67520142,3.7885699269999997,8.108260155,99.10900116,0.394499004,8.500390053,0.593549013,19.93079948,20.694299700000002,4.64966011,10.29020023,46.00630188,1.136940002,2.2885499,57.47280121,73.69850159,2.394010067,12.92150021,0.420233995,0.312260985,0.483354002,0.5218570229999999,6.559720039,2.4260098930000003,16.06279945,1.53057003,0.7441279890000001,7.778289795,6.535180092,1.002529979,368.4580078,6.900239944,12.53960037,1.406780005,9.701479912,46.58300018,1.644809961,0.724049985,403.0480042,3.1966300010000004,10.46710014,0.159183994,117.00299840000002,595.1900024,55.0094986,1.045259953
2018-01-05,0.999558985,2.469099998,2.127079964,5.352429867,1.551470041,6.812019825,0.648414016,0.552881002,2584.47998,53.30739975,14.91720009,7.156330109,17429.5,277.4440002,0.775645018,1.098629951,1152.410034,109.9469986,194.38400269999997,0.313419014,2.281709909,10.83959961,36.19950104,997.7199707000001,4.498720168999999,62.73960114,15.63939953,4.549950123,47.00310135,754.3499756,406.1579895,0.949392021,22.95630074,6.84141016,4.363279819,8.463299751000001,3.169729948,0.9074860220000001,0.195975006,1.0312399859999999,24.16069984,249.27099610000002,1.0322799679999999,16.60479927,1.3089100120000001,3.754450083,226.54499819999998,8.006770134,9.368760109,31.39599991,3.2355499269999997,7.534359932,95.28179932,0.37219700200000005,12.59379959,0.5171909929999999,18.68829918,20.03310013,3.92276001,10.26729965,41.36819839,1.604490042,2.342600107,62.70019913,72.80870056,2.422919989,11.05790043,0.431093991,0.41269201,0.494462013,0.500948012,5.807350158999999,2.065099955,15.18550014,1.796620011,0.6844570040000001,7.891409874,6.5561699870000005,0.9986339809999999,380.1059875,6.601799965,12.05700016,1.300989985,10.00599957,44.15190125,1.591789961,0.6627119779999999,384.9360046,3.0487101080000003,11.30060005,0.181114003,103.8939972,588.8549805,45.90010071,1.1179599759999999
2018-01-06,1.027150035,2.8608400819999997,2.468660116,5.986179829,1.6970299480000002,7.863110065,0.678385019,0.663905025,2786.649902,57.16410065,22.75979996,7.402120113,17527.0,300.3770142,0.833123982,1.210559964,1265.030029,114.54000090000001,184.24499509999998,0.403259993,2.478290081,12.57970047,38.42480087,1041.680054,4.8712902069999995,63.85079956,14.267700199999998,4.925300121,51.84410095,844.8629761,396.8559875,1.030110002,25.75209999,7.761809826,4.633470058,9.504980087,3.982660055,1.063570023,0.19602100600000003,1.305369973,31.23670006,296.45401,1.034180045,16.19860077,1.305310011,3.942229986,240.69200130000002,8.71930027,7.471749783,29.28569984,3.880439997,22.85790062,100.8619995,0.48239898700000006,12.77490044,0.55400902,19.30610085,21.2451992,3.731699944,11.15999985,42.75830078,2.056720018,2.9692699910000004,94.67189789,77.52950287,2.486490011,12.52610016,0.510451019,0.372774005,0.700986028,0.527821004,6.627940177999999,2.398020029,16.18709946,2.257639885,0.8369320029999999,8.361499786,5.812459946000001,1.008990049,377.77700810000005,7.0893502239999995,12.86380005,1.650959969,14.890600199999998,56.14070129,1.654410005,0.709945023,452.7709961,3.09397006,11.35709953,0.174182996,108.8290024,764.257019,53.647399899999996,1.364850044
2018-01-07,1.008520007,3.153379917,2.665580034,7.704490185,1.8214800359999999,8.053660393,1.367599964,0.758233011,2786.8798829999996,51.36149979,18.65679932,8.189990044,16477.59961,302.24700930000006,0.8171899909999999,1.166560054,1285.430054,114.3960037,191.61099240000001,0.35205099,2.7817299369999997,12.52190018,40.79309845,1153.170044,5.010280132,71.37760162,14.89340019,4.992129803,51.44990158,778.4359741000001,366.42199710000006,1.082470059,24.83429909,9.918049812000001,4.582809925,11.05679989,5.102389812,1.27046001,0.19269999899999998,1.1519000529999999,34.1128006,288.4509888,1.1592299940000002,19.57500076,1.5968099830000002,4.070559978,238.8760071,8.527569771,7.01718998,26.50860023,4.147530079,25.08569908,102.4290009,0.426371008,12.57190037,0.550889015,24.41189957,24.43650055,3.9738500119999998,12.35719967,55.63769913,2.101469994,2.575839996,85.76740265,80.20829773,2.57359004,13.12779999,0.553165019,0.36168000100000003,0.677774012,0.529438019,6.409249783,2.534869909,17.05089951,2.617110014,0.87429899,9.309800147999999,6.573480129,1.001569986,397.7160034,7.019989967000001,12.94699955,1.973520041,16.34700012,60.24269867,1.842720032,0.699644983,459.33099369999996,3.3778100010000003,11.16930008,0.181957006,113.3539963,880.7609863,52.33840179,1.363569975
2018-01-08,0.899002016,3.2538499830000003,2.441509962,6.7020797729999995,1.569959998,7.978980064,1.251829982,0.84818399,2421.469971,47.96480179,18.2609005,8.653599739,15170.09961,239.548996,0.7642560009999999,1.0924400090000002,1087.75,111.9980011,214.6629944,0.347876996,2.588439941,9.692649841,34.18629837,1148.530029,4.528950214,76.06999969,13.26679993,5.23319006,48.8302002,725.3590088,358.881012,1.088420033,20.15859985,10.41310024,5.233860016,9.683279991000001,4.799670218999999,1.377300024,0.19375799600000002,1.4505800009999998,31.30089951,255.76300049999998,1.0670000309999998,18.138599399999997,1.8517800569999998,3.845849991,250.6320038,8.823430061,7.235859871000001,25.79980087,3.908529997,44.67620087,102.3769989,0.37044298600000003,12.77289963,0.489279985,23.88909912,22.08760071,3.905220032,12.06260014,58.19969939999999,1.8068799969999998,2.6960599419999998,55.98130035,98.12480164,2.4185400009999998,14.63739967,0.418244004,0.430750012,0.607032001,0.467121005,6.018919945,2.19701004,21.74830055,2.4862999919999997,0.852791011,10.20860004,6.202459812000001,1.009320021,419.8599853999999,7.006569862,13.62930012,1.7967300419999999,15.00899982,60.10020065,1.6534800530000002,0.629323006,405.0740051,2.456209898,10.21730042,0.17838500399999999,101.6240005,695.4920043999999,51.71089935,1.914579988
2018-01-09,0.8147429820000001,3.270849943,2.4825398919999997,6.911439896,1.525570035,9.423760414,1.1232600209999999,0.891961992,2391.560059,52.57239914,17.41180038,10.0092001,14595.40039,240.8950043,0.688537002,1.12135005,1111.859985,116.79000090000001,231.8249969,0.330307007,2.600419998,9.326939583,38.32160187,1299.73999,4.436359882,68.58309937,13.75370026,6.44949007,62.171199800000004,777.4030151000001,401.09399410000003,1.070090055,22.62339973,12.18840027,5.933020115,9.026579857,5.74161005,1.228279948,0.18992400199999998,2.121999979,29.910299300000002,247.0370026,1.12191999,16.76980019,1.783869982,3.537169933,246.22900389999998,9.119270325,6.425889969,29.91399956,3.750819921,44.46699905,126.939003,0.337837994,11.5873003,0.490285009,25.29089928,29.20750046,3.848350048,12.52320004,53.21060181,1.8462500569999998,3.809910059,53.21260071,91.86239624,2.25428009,14.54440022,0.323435009,0.378850996,0.608506978,0.43216601,5.93501997,2.623029947,19.53479958,2.930619955,0.8678709859999999,11.72929955,5.989359856,1.005990028,465.5870056,6.393859862999999,12.98859978,1.932199955,14.57699966,62.45550156,1.540400028,0.585653007,413.3340149,2.101779938,10.20079994,0.196059003,98.75150299,672.7839966,57.89080048,2.1687200069999997
