date,ADA-USD,ADX-USD,AE-USD,ANT-USD,ARDR-USD,ARK-USD,ATB-USD,BAT-USD,BCH-USD,BLOCK-USD,BNB-USD,BNT-USD,BTC-USD,BTG-USD,BTS-USD,CVC-USD,DASH-USD,DCR-USD,DGB-USD,DGD-USD,DNT-USD,EDG-USD,EOS-USD,ETC-USD,ETH-USD,ETP-USD,FCT-USD,FRST-USD,FUN-USD,GAME-USD,GAS-USD,GBYTE-USD,GNO-USD,GNT-USD,HC-USD,ICX-USD,IOC-USD,KMD-USD,KNC-USD,LINK-USD,LKK-USD,LRC-USD,LSK-USD,LTC-USD,MAID-USD,MCO-USD,MGO-USD,MIOTA-USD,MLN-USD,MONA-USD,MTL-USD,NANO-USD,NAV-USD,NEBL-USD,NEO-USD,NLC2-USD,NXS-USD,NXT-USD,OMG-USD,PART-USD,PAY-USD,PIVX-USD,PPT-USD,QASH-USD,QRL-USD,QTUM-USD,REP-USD,RLC-USD,SALT-USD,SC-USD,SMART-USD,SNGLS-USD,SNM-USD,SNT-USD,STEEM-USD,STORJ-USD,STRAT-USD,SUB-USD,SYS-USD,TAAS-USD,TRX-USD,UBQ-USD,USDT-USD,VERI-USD,VTC-USD,WAVES-USD,WINGS-USD,WTC-USD,XCP-USD,XEM-USD,XLM-USD,XMR-USD,XRP-USD,XUC-USD,XVG-USD,XZC-USD,ZEC-USD,ZEN-USD,ZRX-USD
2017-12-31,305947008.0,26397700.0,1482490.0,1516050.0,35154900.0,12313300.0,3397720.0,18495600.0,1300819968.0,525531.0,74927904.0,7434550.0,12136299520.0,78952096.0,43489600.0,17690000.0,154690000.0,3204200.0,49734600.0,4100650.0,12322000.0,5167750.0,312308000.0,169331008.0,2554269952.0,4763950.0,32330900.0,399716.0,87329504.0,3570250.0,10157000.0,971346.0,2445030.0,34322100.0,331257984.0,62230900.0,307524.0,13810500.0,14615300.0,9962080.0,75729.0,9570140.0,64758700.0,771041984.0,8529030.0,56692500.0,631504.0,167520992.0,1113190.0,13331300.0,11030800.0,42716300.0,5987060.0,1713930.0,181356992.0,206978.0,674697.0,199298000.0,349531008.0,1436220.0,22511900.0,5997750.0,2320920.0,8381010.0,3352860.0,690937984.0,5779320.0,2057070.0,33189700.0,26400000.0,618419.0,6513530.0,4371630.0,69855800.0,4329760.0,69409200.0,27243700.0,7351050.0,9895420.0,817452.0,375152000.0,4064360.0,1927010048.0,1244940.0,7702740.0,50113900.0,11574600.0,22289500.0,1152380.0,69870096.0,183768000.0,101667000.0,4642079744.0,507108.0,920812992.0,14533300.0,95277104.0,6887990.0,20968200.0
2018-01-01,150186000.0,23767100.0,1312670.0,2137650.0,30592600.0,19811000.0,3272380.0,23566200.0,922812992.0,396244.0,66422800.0,7968180.0,10291200000.0,143836000.0,79584496.0,19144800.0,138567008.0,3794590.0,25680600.0,5648270.0,11162300.0,10031000.0,331072992.0,870412992.0,2595760128.0,4962270.0,104632000.0,202877.0,36808800.0,3980400.0,9620240.0,1958040.0,4679640.0,36414200.0,244012000.0,103225000.0,212954.0,11458100.0,22476900.0,11506300.0,181391.0,5781390.0,46809500.0,633142016.0,22130000.0,60968700.0,431407.0,256630000.0,1254370.0,7236100.0,20982800.0,55211700.0,9229020.0,2443900.0,142094000.0,124147.0,768096.0,80812200.0,166860000.0,649019.0,16548300.0,5455340.0,1770540.0,14620300.0,1817320.0,708817984.0,11556700.0,7856410.0,35137200.0,17306300.0,451068.0,8133230.0,5267520.0,148184000.0,32488100.0,22519300.0,75643600.0,8097880.0,9278490.0,801524.0,516798016.0,2558600.0,1685299968.0,890956.0,10816800.0,43302300.0,8906040.0,27012000.0,1450800.0,58202800.0,669372032.0,110244000.0,1894230016.0,792076.0,816280000.0,16843000.0,234555008.0,3636260.0,19205400.0
2018-01-02,289712000.0,36135500.0,2867610.0,3763910.0,35898800.0,27221700.0,3447880.0,61507700.0,1831229952.0,874121.0,104789000.0,14395900.0,16846600192.0,117571000.0,138314000.0,47442300.0,257110000.0,6666070.0,54081500.0,8584280.0,12892500.0,21680200.0,552188992.0,615984000.0,5783349760.0,8664920.0,67878600.0,559645.0,30096800.0,13983400.0,28793100.0,2618600.0,11729800.0,80527104.0,222538000.0,159428992.0,790837.0,16435300.0,27472100.0,12671100.0,168334.0,10427400.0,72049200.0,1237949952.0,16321800.0,56021100.0,881921.0,269750016.0,1672720.0,15042600.0,24404100.0,103062000.0,10178500.0,2407610.0,373376992.0,381559.0,2206790.0,86632304.0,229552992.0,1513320.0,34190000.0,7467320.0,3275410.0,24755600.0,2111640.0,597468032.0,20448000.0,6434580.0,45439100.0,40687600.0,872412.0,8012190.0,7225220.0,126276000.0,118530000.0,26786600.0,63791100.0,21501100.0,22796800.0,967904.0,1604039936.0,5015230.0,2635859968.0,2011340.0,28652100.0,61136300.0,7574380.0,31560000.0,6116370.0,108186000.0,676667008.0,224768992.0,3171010048.0,1313810.0,451025984.0,23831900.0,207114000.0,6967560.0,21864200.0
2018-01-03,657398016.0,25733700.0,2798770.0,5024030.0,36564000.0,18263600.0,3570410.0,53393700.0,4688840192.0,1070390.0,108852000.0,11675000.0,16871900160.0,106643000.0,82722800.0,80342304.0,175843008.0,6508350.0,69436000.0,6781210.0,12242200.0,13414900.0,529459008.0,910507008.0,5093159936.0,6401080.0,47762500.0,352782.0,41199200.0,9027070.0,26195800.0,2880740.0,6210680.0,47553900.0,236658000.0,147000000.0,401934.0,11500400.0,24648600.0,8620400.0,143641.0,11634500.0,79068896.0,3215280128.0,10299200.0,32378000.0,566433.0,203783008.0,2162260.0,12189700.0,19728200.0,66626500.0,8315930.0,2770880.0,288086016.0,717606.0,3754430.0,93119504.0,139039008.0,1062180.0,31290500.0,7250270.0,12062500.0,24439100.0,1200210.0,673649984.0,14320100.0,3632770.0,44618100.0,34555700.0,1012420.0,5502620.0,8418110.0,594459008.0,81599696.0,23245200.0,50176600.0,14682000.0,15859000.0,971381.0,1136850048.0,8220420.0,2471689984.0,1000590.0,14827600.0,53810900.0,6623360.0,32263600.0,1933930.0,265016000.0,1513270016.0,180190000.0,6635879936.0,1148150.0,354872992.0,15323100.0,152736000.0,3928540.0,18706300.0
2018-01-04,593430016.0,23354700.0,3454190.0,4249260.0,8200610.0,22264600.0,3458040.0,49913400.0,5377260032.0,886012.0,158819008.0,16215600.0,21783199744.0,136988000.0,78802896.0,55528600.0,284844992.0,5116920.0,179759008.0,7497780.0,16006800.0,12614500.0,1204969984.0,1733939968.0,6502859776.0,50356000.0,36659400.0,371139.0,131221000.0,13845300.0,31722100.0,3958240.0,7731170.0,45151000.0,184888992.0,160103008.0,1279720.0,28405900.0,23788600.0,24679000.0,19998.0,16973700.0,109219000.0,3481550080.0,9415190.0,32933300.0,537640.0,376974016.0,4951290.0,15133300.0,28672600.0,62473700.0,13800600.0,2888930.0,332545984.0,760935.0,30486100.0,94506400.0,150260000.0,982713.0,37993800.0,8738480.0,4863890.0,28168300.0,1111140.0,744457024.0,14502500.0,4345840.0,59457600.0,116332000.0,680181.0,6443670.0,12930800.0,230243008.0,42666400.0,41469600.0,58863100.0,21749100.0,19332800.0,949190.0,4089410048.0,4761500.0,3200130048.0,734384.0,19509300.0,65343400.0,5227100.0,25815500.0,7426110.0,332371008.0,892268032.0,166108000.0,8103660032.0,2043790.0,677836032.0,21389400.0,166095008.0,7044970.0,19658400.0
2018-01-05,508100000.0,22429900.0,5526110.0,2592980.0,10296900.0,22767100.0,3549290.0,46643000.0,2115709952.0,673643.0,341504992.0,16267500.0,23840899072.0,175164992.0,73192896.0,45443400.0,237504000.0,6006190.0,192552992.0,9540220.0,31984000.0,12511000.0,618755008.0,517583008.0,6683149824.0,39771100.0,36607800.0,480417.0,64546500.0,11036200.0,33032600.0,3153480.0,24649100.0,49195300.0,212222000.0,161902000.0,1043470.0,18605100.0,31078100.0,23599300.0,50258.0,53987200.0,187694000.0,1710599936.0,11867400.0,47988500.0,603124.0,219320000.0,2453770.0,11755200.0,25036800.0,74166000.0,11366500.0,3280040.0,292932992.0,1004190.0,89224496.0,69330496.0,138392992.0,672333.0,45959500.0,9830440.0,3245770.0,107352000.0,1791580.0,1356739968.0,28863300.0,7427770.0,43428800.0,227731008.0,712946.0,13707400.0,16192500.0,165755008.0,32859900.0,32523600.0,58967300.0,33185300.0,16549200.0,805495.0,3864399872.0,5981070.0,3096620032.0,426543.0,18006300.0,65668300.0,6421660.0,30884700.0,4024510.0,175192000.0,727409024.0,182618000.0,6288500224.0,1870900.0,544342016.0,18692900.0,158978000.0,5580990.0,38594200.0
2018-01-06,297615008.0,22305400.0,4581780.0,2001070.0,6187090.0,16974400.0,4236430.0,51922100.0,1669159936.0,383803.0,637020992.0,11898200.0,18314600448.0,172099008.0,69628704.0,40530500.0,215058000.0,3359940.0,173443008.0,14394700.0,73152896.0,8578490.0,688819008.0,362468992.0,4662219776.0,16309000.0,28218000.0,334400.0,48098700.0,9941380.0,51855800.0,2071190.0,12115800.0,33246800.0,260456992.0,149783008.0,616323.0,18565800.0,34950900.0,16319300.0,91801.0,52629400.0,200650000.0,2264740096.0,8550790.0,36528100.0,293092.0,161228000.0,1747160.0,11957600.0,62767000.0,51191600.0,10993200.0,72246800.0,187746000.0,499729.0,24530100.0,65488700.0,99421600.0,433964.0,32369500.0,5308110.0,2876040.0,63903000.0,2565130.0,1998569984.0,13080900.0,1728030.0,41980300.0,612913024.0,1054880.0,8304340.0,27155000.0,93250496.0,29704000.0,33340900.0,40643800.0,38312000.0,10719900.0,1090980.0,2437349888.0,10848600.0,2620080128.0,465537.0,12220200.0,59738700.0,11170900.0,62498100.0,6891700.0,99451000.0,440182016.0,235391008.0,2777560064.0,518416.0,290822016.0,14182700.0,305643008.0,3265020.0,37822200.0
2018-01-07,226067008.0,38353500.0,6197720.0,5045620.0,5744190.0,21368600.0,7206070.0,78834400.0,1444780032.0,904766.0,258050000.0,14097700.0,15866000384.0,203684000.0,44895200.0,36934200.0,230576000.0,5956510.0,85568896.0,18728000.0,24136300.0,12738600.0,781497024.0,423276000.0,5569880064.0,12164500.0,52211000.0,303370.0,51203500.0,9150090.0,41395400.0,1554060.0,8109390.0,42570100.0,244111008.0,283777984.0,1000300.0,33495900.0,61758700.0,23308800.0,160532.0,25142700.0,209374000.0,1055400000.0,9690180.0,51834200.0,706422.0,249832992.0,2294810.0,7324520.0,24104500.0,50381400.0,27812700.0,103923000.0,196620992.0,478411.0,9461710.0,40635300.0,250608992.0,904976.0,33424500.0,6950070.0,10494700.0,69163104.0,1536190.0,1707139968.0,10406400.0,1720000.0,45933200.0,195631008.0,1188660.0,8561480.0,27198300.0,101042000.0,19933800.0,40976900.0,39299000.0,37982100.0,11079700.0,1264770.0,1750349952.0,4524180.0,2338180096.0,822460.0,11297800.0,56240800.0,40693900.0,47556700.0,12591100.0,123173000.0,347556992.0,262443008.0,2395150080.0,776752.0,252851008.0,17993400.0,542980992.0,2921610.0,40839200.0
2018-01-08,264460992.0,25823900.0,5645830.0,5129650.0,5063520.0,18495700.0,6320260.0,71550600.0,1428899968.0,549407.0,296617984.0,20321200.0,18413899776.0,164036000.0,74938496.0,26106300.0,215239008.0,5565010.0,83133904.0,16054100.0,25748800.0,11037600.0,697174976.0,798928000.0,8450970112.0,18407400.0,43430600.0,247008.0,82403296.0,9287700.0,25586600.0,1502550.0,6226050.0,61890600.0,137124992.0,227863008.0,1561820.0,14779100.0,41314100.0,25545400.0,127645.0,44705100.0,142590000.0,1182080000.0,7737460.0,36013600.0,906690.0,317248000.0,2040150.0,9901160.0,20059800.0,42835800.0,12239100.0,310931008.0,231395008.0,338387.0,8084190.0,38511500.0,382895008.0,1112080.0,25176900.0,12368100.0,19256500.0,49635100.0,1708580.0,1023569984.0,45292400.0,1799600.0,85218400.0,161362000.0,2992850.0,12936000.0,21721600.0,83150200.0,15712500.0,24573200.0,167018000.0,31329300.0,10556000.0,1145570.0,1532320000.0,3060170.0,3815749888.0,1136510.0,16228700.0,72190304.0,11796100.0,32463700.0,8474280.0,81479000.0,249426000.0,220924000.0,3315259904.0,2684700.0,430047008.0,14461700.0,282955008.0,3977390.0,72631600.0
2018-01-09,209492000.0,23302700.0,3778640.0,2079090.0,4491820.0,63507700.0,6150360.0,86957600.0,1084749952.0,697850.0,194750000.0,22186700.0,16659999744.0,152475008.0,61025800.0,26552100.0,220568992.0,6454540.0,64104300.0,38671000.0,15058300.0,7424620.0,546937024.0,808371008.0,7965459968.0,13037000.0,31292400.0,207260.0,117367000.0,35299500.0,33255600.0,1324670.0,8995610.0,34547000.0,203836000.0,259024000.0,2656940.0,9556170.0,37437600.0,14301200.0,130396.0,173346000.0,87492496.0,940825024.0,10738300.0,28770300.0,1084730.0,200086000.0,2265880.0,18561700.0,20362100.0,48778800.0,7846600.0,222014000.0,529663008.0,423795.0,6100540.0,36913900.0,191508992.0,12062000.0,23811700.0,10202000.0,5257620.0,34922500.0,5202050.0,837430976.0,39081800.0,1531170.0,52787400.0,95492096.0,1291490.0,5142340.0,23224700.0,62261600.0,12146200.0,66029700.0,66024900.0,62873800.0,9218440.0,1795990.0,1262109952.0,2798840.0,2766180096.0,502374.0,8552900.0,62959200.0,12286400.0,28357200.0,4538480.0,75343696.0,208330000.0,522438016.0,3694700032.0,863635.0,787881024.0,12186300.0,213920992.0,5725750.0,208910000.0
